grid_ID;logger_tag;X_img;Y_img;X;invertY;Y
A1;Log_23;16.14;16.14;0.799834813;477.86;23.68085897
A2;Log_39;16.14;131.72;0.799834813;362.28;17.95316952
A3;Log_26;16.14;247.3;0.799834813;246.7;12.22548007
A4;Log_32;16.14;362.88;0.799834813;131.12;6.497790626
A5;Log_10;16.14;478.46;0.799834813;15.54;0.770101177
B1;Log_36;113;16.256;5.599834813;477.744;23.67511047
B2;Log_11;113;131.276;5.599834813;362.724;17.97517241
B3;Log_14;113;246.296;5.599834813;247.704;12.27523436
B4;Log_27;113;361.316;5.599834813;132.684;6.575296304
B5;Log_22;113;476.336;5.599834813;17.664;0.875358249
C1;Log_40;209.86;16.256;10.39983481;477.744;23.67511047
C2;Log_19;209.86;131.276;10.39983481;362.724;17.97517241
C3;Log_24;209.86;246.296;10.39983481;247.704;12.27523436
C4;Log_28;209.86;361.316;10.39983481;132.684;6.575296304
C5;Log_30;209.86;476.336;10.39983481;17.664;0.875358249
D1;Log_37;306.72;16.256;15.19983481;477.744;23.67511047
D2;Log_29;306.72;131.276;15.19983481;362.724;17.97517241
D3;Log_05;306.72;246.296;15.19983481;247.704;12.27523436
D4;Log_20;306.72;361.316;15.19983481;132.684;6.575296304
D5;Log_31;306.72;476.336;15.19983481;17.664;0.875358249
